Sample in Buffer,Sample in Window,TRIGGER,data_interface_chs_ctrl_inst/read_flag,data_interface_chs_ctrl_inst/ad_data1_en_c1r1_1,data_interface_chs_ctrl_inst/ad_data1_c1r1_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r2_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r3_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r4_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r5_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r6_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r7_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c1r8_1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c2r8[30:19],data_interface_chs_ctrl_inst/calibrate_pulse_2,data_interface_chs_ctrl_inst/refresh_pulse_2,data_interface_chs_ctrl_inst/check_cnt_2[27:0],data_interface_chs_ctrl_inst/ad_data1_c3r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c3r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c4r8[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r1[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r2[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r3[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r4[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r5[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r6[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r7[30:19],data_interface_chs_ctrl_inst/ad_data1_c5r8[30:19],data_interface_chs_ctrl_inst/addata1_cnt[16:0]
95,95,0,1,1,-71,43,25,-73,-96,71,-50,6,-1,7,31,30,-41,1,38,-63,0,0,0,21,13,-57,47,-33,-4,16,-58,-27,-12,-14,14,12,-8,8,-2,0,0,0,0,0,0,0,0,012b0
96,96,0,1,1,-3,3,0,-8,-12,-3,0,-5,-18,-2,1,3,1,15,6,2,0,0,0,-8,-18,19,2,-11,-12,0,-9,-62,37,-46,83,82,-55,64,-97,0,0,0,0,0,0,0,0,012b1
97,97,0,1,1,79,-58,-9,67,98,-90,56,-6,7,-3,-35,-34,42,9,-24,73,0,0,0,-37,-10,59,-50,47,-1,-25,61,-4,-2,1,-15,-4,8,2,5,0,0,0,0,0,0,0,0,012b2
98,98,0,1,1,-12,8,3,11,12,1,1,3,-1,-3,-7,-6,-7,-6,-1,16,0,0,0,-6,-1,-4,-2,9,2,-2,-5,50,-68,43,-83,-78,60,-74,107,0,0,0,0,0,0,0,0,012b3
99,99,0,1,1,-83,60,20,-94,-94,78,-72,2,-11,2,49,22,-42,6,41,-67,0,0,0,39,26,-75,49,-54,-9,11,-57,1,-9,-12,1,18,3,9,13,0,0,0,0,0,0,0,0,012b4
100,100,0,1,1,-61,50,7,-83,-92,71,-56,8,13,4,32,32,-26,5,37,-65,0,0,0,42,19,-48,51,-39,-11,9,-51,-71,66,-42,76,83,-74,67,-121,0,0,0,0,0,0,0,0,012b5
101,101,0,1,1,-68,44,16,-62,-77,71,-41,3,-4,0,40,22,-31,-6,21,-58,0,0,0,22,9,-58,43,-37,1,18,-54,-57,51,-33,81,57,-61,50,-100,0,0,0,0,0,0,0,0,012b6
102,102,0,1,1,-65,44,6,-77,-72,79,-48,4,-25,4,40,19,-41,-3,30,-68,0,0,0,36,10,-54,39,-40,-7,21,-38,-60,62,-44,57,62,-48,60,-86,0,0,0,0,0,0,0,0,012b7
103,103,0,1,1,-46,50,-2,-66,-87,80,-51,6,-4,0,24,19,-26,-3,35,-59,0,0,0,37,20,-46,39,-50,0,6,-45,-34,78,-33,58,64,-74,42,-123,0,0,0,0,0,0,0,0,012b8
104,104,0,1,1,-62,50,21,-75,-91,69,-60,1,4,1,35,21,-38,8,36,-62,0,0,0,40,41,-74,42,-45,-9,9,-56,-57,51,-41,58,59,-75,54,-95,0,0,0,0,0,0,0,0,012b9
105,105,0,1,1,-71,46,9,-74,-73,73,-46,5,-15,3,25,12,-32,7,21,-56,0,0,0,28,23,-58,39,-42,-17,17,-59,-81,47,-52,58,95,-55,73,-88,0,0,0,0,0,0,0,0,012ba
106,106,0,1,1,-65,35,11,-76,-82,78,-44,2,-3,4,34,21,-29,-7,16,-58,0,0,0,29,26,-56,50,-53,1,22,-54,-47,60,-50,75,77,-62,50,-103,0,0,0,0,0,0,0,0,012bb
107,107,0,1,1,-56,47,24,-79,-87,82,-53,4,5,-1,41,35,-48,3,27,-65,0,0,0,36,32,-67,54,-40,-7,12,-44,-74,64,-49,63,68,-69,63,-106,0,0,0,0,0,0,0,0,012bc
108,108,0,1,1,11,9,-2,3,-3,-3,-6,-4,-1,0,2,-6,-1,18,-1,6,0,0,0,-10,-6,1,-3,-3,-7,-8,-11,-72,64,-43,56,91,-55,64,-102,0,0,0,0,0,0,0,0,012bd
109,109,0,1,1,57,-56,-13,80,98,-72,67,-10,25,-6,-42,-18,37,-8,-35,70,0,0,0,-56,-20,74,-55,46,5,-4,53,3,8,3,4,-16,-6,-16,0,0,0,0,0,0,0,0,0,012be
110,110,0,1,1,-8,-9,7,13,6,5,5,4,-2,-4,-3,0,-1,-8,-11,-9,0,0,0,0,6,-13,-8,-2,-7,-3,-5,69,-72,49,-76,-80,63,-73,114,0,0,0,0,0,0,0,0,012bf
111,111,0,1,1,-76,63,12,-82,-105,88,-67,4,-25,7,49,16,-44,1,17,-76,0,0,0,43,12,-70,49,-59,-13,12,-67,-7,-1,-17,-8,19,6,21,-6,0,0,0,0,0,0,0,0,012c0
112,112,0,1,1,8,0,-13,1,-12,6,6,-2,-7,-4,6,8,-10,1,-8,0,0,0,0,-20,-9,19,3,6,2,-1,8,-66,83,-30,80,64,-73,72,-131,0,0,0,0,0,0,0,0,012c1
113,113,0,1,1,90,-62,-11,84,90,-99,65,-6,16,-4,-40,-25,42,9,-30,72,0,0,0,-41,-16,81,-44,43,-3,-18,43,23,5,23,5,-28,9,-12,-2,0,0,0,0,0,0,0,0,012c2
114,114,0,1,1,72,-48,-3,74,88,-82,66,-8,28,-4,-31,-25,42,-11,-23,74,0,0,0,-33,-22,74,-55,36,-3,-17,51,72,-65,43,-75,-87,73,-77,97,0,0,0,0,0,0,0,0,012c3
115,115,0,1,1,83,-55,-7,75,89,-76,55,-6,23,-8,-40,-17,42,-2,-22,63,0,0,0,-27,-14,55,-61,40,-3,-25,43,61,-63,58,-72,-73,58,-83,101,0,0,0,0,0,0,0,0,012c4
116,116,0,1,1,-13,-7,6,-2,6,-7,-6,2,11,-2,-3,-4,2,-7,-2,0,0,0,0,4,1,-11,7,-5,-6,-6,-12,43,-67,36,-68,-61,66,-47,118,0,0,0,0,0,0,0,0,012c5
117,117,0,1,1,-87,59,-2,-83,-103,85,-60,3,-29,4,46,20,-43,-12,24,-73,0,0,0,28,11,-69,44,-54,0,13,-34,-20,-1,-14,7,10,6,2,4,0,0,0,0,0,0,0,0,012c6
118,118,0,1,1,2,2,-4,-10,-8,-8,10,1,-5,0,0,10,0,-1,5,-12,0,0,0,-2,-8,14,-8,-3,-5,8,3,-58,76,-45,82,77,-69,59,-111,0,0,0,0,0,0,0,0,012c7
119,119,0,1,1,65,-57,-11,79,92,-94,62,-1,9,-6,-31,-30,44,-10,-36,74,0,0,0,-54,-26,81,-51,43,-11,-30,55,-1,-10,6,-16,-11,12,2,6,0,0,0,0,0,0,0,0,012c8
120,120,0,1,1,8,-2,2,13,8,-13,-7,-7,-7,-4,-7,-3,5,-8,-8,2,0,0,0,-7,3,0,-3,6,-12,-6,5,53,-74,32,-83,-75,87,-69,105,0,0,0,0,0,0,0,0,012c9
121,121,0,1,1,-81,44,21,-76,-81,74,-60,6,1,2,17,38,-42,-9,32,-76,0,0,0,48,27,-68,48,-28,-1,24,-47,-2,-12,-14,4,10,-3,7,-7,0,0,0,0,0,0,0,0,012ca
122,122,0,1,1,-68,43,14,-81,-89,67,-63,4,-6,4,27,25,-30,3,36,-62,0,0,0,23,30,-55,38,-43,-11,4,-52,-73,39,-52,69,69,-63,71,-92,0,0,0,0,0,0,0,0,012cb
123,123,0,1,1,-58,40,26,-54,-72,50,-48,-2,7,-4,29,35,-36,-5,24,-70,0,0,0,22,7,-58,42,-27,-1,24,-54,-55,52,-51,66,91,-49,67,-88,0,0,0,0,0,0,0,0,012cc
124,124,0,1,1,-83,33,5,-68,-79,76,-41,5,-2,1,27,26,-37,-18,12,-78,0,0,0,32,13,-70,39,-38,-2,30,-50,-39,60,-37,68,66,-56,68,-101,0,0,0,0,0,0,0,0,012cd
125,125,0,1,1,-54,39,9,-76,-96,69,-50,2,-22,2,35,34,-25,-2,26,-71,0,0,0,29,22,-67,41,-47,-18,17,-54,-46,72,-42,79,56,-60,67,-100,0,0,0,0,0,0,0,0,012ce
126,126,0,1,1,-47,43,14,-65,-77,75,-56,5,3,1,30,35,-37,0,19,-66,0,0,0,24,24,-65,47,-34,4,9,-49,-48,64,-28,59,82,-62,61,-103,0,0,0,0,0,0,0,0,012cf
127,127,0,1,1,-78,38,10,-84,-77,65,-49,0,-14,6,29,29,-34,0,19,-68,0,0,0,18,28,-61,48,-35,-6,29,-45,-65,54,-43,62,58,-70,61,-104,0,0,0,0,0,0,0,0,012d0
128,128,0,1,1,-66,43,24,-77,-83,66,-54,5,-29,1,44,39,-36,-4,27,-61,0,0,0,20,18,-61,43,-32,-3,23,-57,-53,62,-44,67,84,-56,59,-93,0,0,0,0,0,0,0,0,012d1
129,129,0,1,1,-72,45,5,-75,-84,92,-50,2,-13,3,29,18,-33,0,18,-61,0,0,0,22,11,-54,46,-54,4,20,-54,-48,77,-37,56,83,-56,60,-90,0,0,0,0,0,0,0,0,012d2
130,130,0,1,1,-24,2,1,-11,-14,-1,9,-6,-13,1,11,9,-8,-2,-5,-11,0,0,0,-12,-23,-6,7,0,3,10,9,-62,71,-53,70,58,-66,52,-93,0,0,0,0,0,0,0,0,012d3
131,131,0,1,1,84,-53,-16,78,91,-73,60,-1,24,-5,-33,-23,36,-3,-36,74,0,0,0,-40,-19,62,-60,46,3,-17,38,-8,-1,9,-6,6,2,-7,-6,0,0,0,0,0,0,0,0,012d4
132,132,0,1,1,71,-46,-28,70,88,-67,51,-8,2,-3,-45,-37,52,-1,-31,74,0,0,0,-35,-28,70,-48,38,11,-7,52,49,-55,48,-77,-87,60,-77,93,0,0,0,0,0,0,0,0,012d5
133,133,0,1,1,63,-45,-21,75,79,-65,47,-8,-6,-6,-23,-36,33,-19,-26,75,0,0,0,-36,-27,60,-35,48,11,-21,44,52,-63,40,-76,-73,59,-79,100,0,0,0,0,0,0,0,0,012d6
134,134,0,1,1,19,-15,2,15,8,-5,6,-2,-4,-3,-3,-3,-7,-9,-6,2,0,0,0,-23,5,13,-1,4,-10,1,7,44,-61,45,-87,-59,59,-53,104,0,0,0,0,0,0,0,0,012d7
135,135,0,1,1,-71,53,15,-74,-88,63,-57,5,-41,-2,36,27,-42,-11,26,-73,0,0,0,27,14,-54,43,-32,-4,22,-41,1,-2,0,5,-20,-1,-2,-14,0,0,0,0,0,0,0,0,012d8
136,136,0,1,1,-60,42,5,-69,-80,64,-50,1,-1,-4,34,19,-31,-8,16,-63,0,0,0,44,30,-53,43,-46,-10,18,-53,-64,52,-40,68,69,-68,66,-100,0,0,0,0,0,0,0,0,012d9
137,137,0,1,1,-64,34,28,-64,-75,69,-54,5,-15,3,28,37,-37,3,22,-68,0,0,0,14,13,-58,52,-28,5,21,-24,-61,76,-33,59,70,-59,64,-94,0,0,0,0,0,0,0,0,012da
138,138,0,1,1,-14,1,9,-11,-5,3,-10,2,-8,0,-2,-1,-4,6,8,7,0,0,0,2,1,-11,19,-2,-5,-4,-16,-39,50,-33,73,52,-56,49,-111,0,0,0,0,0,0,0,0,012db
139,139,0,1,1,59,-56,-8,76,90,-87,52,-8,13,-2,-37,-29,37,14,-33,78,0,0,0,-21,-23,62,-48,22,-7,-22,38,-18,-14,-2,-4,7,0,2,3,0,0,0,0,0,0,0,0,012dc
140,140,0,1,1,55,-41,-3,72,84,-83,42,-6,3,-6,-36,-19,35,10,-17,71,0,0,0,-36,-25,59,-58,50,13,-25,43,57,-55,36,-67,-66,77,-78,100,0,0,0,0,0,0,0,0,012dd
141,141,0,1,1,67,-43,-13,65,78,-71,58,-7,13,-8,-34,-15,42,2,-26,63,0,0,0,-37,-12,67,-49,45,-6,-12,47,69,-66,40,-72,-64,57,-72,95,0,0,0,0,0,0,0,0,012de
142,142,0,1,1,63,-57,-8,81,82,-70,51,0,11,-1,-32,-31,37,-6,-33,67,0,0,0,-32,-23,66,-54,40,5,-27,50,35,-75,35,-73,-62,68,-66,100,0,0,0,0,0,0,0,0,012df
143,143,0,1,1,56,-46,-13,62,75,-65,29,-11,33,-5,-35,-42,29,-1,-17,63,0,0,0,-27,-16,51,-45,36,6,-20,46,52,-70,24,-70,-74,61,-73,94,0,0,0,0,0,0,0,0,1.20E+01
144,144,0,1,1,63,-61,-13,75,68,-67,54,-7,2,-6,-30,-19,29,-8,-28,52,0,0,0,-35,-15,59,-46,48,2,-7,63,48,-52,45,-61,-67,35,-64,73,0,0,0,0,0,0,0,0,1.20E+02
145,145,0,1,1,69,-60,-12,73,66,-74,56,-2,9,-4,-38,-30,44,-13,-18,61,0,0,0,-32,-11,53,-53,41,-14,-33,36,57,-77,32,-69,-71,65,-73,92,0,0,0,0,0,0,0,0,1.20E+03
146,146,0,1,1,72,-43,-12,70,84,-82,47,-11,17,-5,-47,-25,46,1,-22,67,0,0,0,-41,-16,65,-53,34,-3,-14,46,60,-68,31,-70,-70,57,-63,114,0,0,0,0,0,0,0,0,1.20E+04
147,147,0,1,1,61,-46,-3,68,81,-82,52,-5,8,-1,-36,-16,35,0,-30,46,0,0,0,-39,-22,48,-52,50,-1,-21,39,46,-66,43,-54,-73,54,-69,102,0,0,0,0,0,0,0,0,1.20E+05
148,148,0,1,1,-13,-4,14,-13,1,-5,-13,-2,26,-1,4,-3,3,-1,10,-8,0,0,0,7,12,-19,1,2,-21,-15,-15,56,-69,32,-78,-61,75,-59,99,0,0,0,0,0,0,0,0,1.20E+06
149,149,0,1,1,-84,45,14,-77,-97,68,-67,1,-27,5,45,31,-44,5,36,-70,0,0,0,40,23,-61,53,-51,4,18,-61,-13,9,3,14,10,1,11,-6,0,0,0,0,0,0,0,0,1.20E+07
150,150,0,1,1,13,8,4,-5,-17,7,0,0,-10,-2,-1,-1,-5,4,7,-11,0,0,0,-6,-9,2,-3,-4,-2,0,-16,-49,55,-58,80,71,-62,67,-108,0,0,0,0,0,0,0,0,1.20E+08
151,151,0,1,1,99,-53,-15,87,90,-79,55,-9,39,-8,-57,-44,52,7,-16,83,0,0,0,-37,-16,80,-51,49,-1,-13,44,-5,-11,4,-12,0,2,0,0,0,0,0,0,0,0,0,0,1.20E+09
152,152,0,1,1,59,-43,-19,74,81,-81,54,-6,8,-2,-48,-31,46,2,-19,72,0,0,0,-27,-20,58,-48,44,4,-27,44,49,-82,51,-73,-86,61,-73,102,0,0,0,0,0,0,0,0,1.20E+10
153,153,0,1,1,51,-43,-7,64,79,-58,53,-1,-1,-5,-31,-20,33,4,-20,66,0,0,0,-38,-20,53,-53,44,5,-16,46,62,-68,26,-80,-59,59,-65,96,0,0,0,0,0,0,0,0,012ea
154,154,0,1,1,59,-61,-15,78,74,-81,46,-3,21,-7,-51,-33,41,13,-19,61,0,0,0,-27,-11,57,-40,43,1,-20,45,38,-68,41,-64,-62,50,-66,103,0,0,0,0,0,0,0,0,012eb
155,155,0,1,1,64,-52,-8,70,78,-73,48,-6,19,-3,-48,-23,51,-6,-16,44,0,0,0,-19,-19,48,-49,41,-5,-27,40,63,-75,28,-65,-68,75,-61,106,0,0,0,0,0,0,0,0,012ec
156,156,0,1,1,66,-50,-21,73,76,-68,65,-8,9,0,-27,-13,37,-10,-17,59,0,0,0,-30,-33,69,-48,49,15,-4,46,56,-53,32,-59,-56,54,-62,92,0,0,0,0,0,0,0,0,012ed
157,157,0,1,1,69,-41,-15,74,76,-86,58,-5,14,-6,-37,-25,31,1,-16,58,0,0,0,-30,-16,68,-44,43,-2,-31,46,55,-67,49,-59,-85,44,-70,102,0,0,0,0,0,0,0,0,012ee
158,158,0,1,1,17,2,17,-5,11,-11,-10,-2,0,-3,2,2,3,4,5,-11,0,0,0,-6,11,-3,-14,8,-22,-19,-8,48,-81,28,-70,-62,72,-55,104,0,0,0,0,0,0,0,0,012ef
159,159,0,1,1,-83,36,10,-78,-93,72,-54,2,-23,5,29,23,-38,-7,24,-75,0,0,0,26,20,-77,40,-35,-7,20,-56,-25,-17,-16,3,16,17,8,3,0,0,0,0,0,0,0,0,012f0
160,160,0,1,1,-13,-8,-3,-3,-12,2,-11,3,-10,4,-11,4,5,-1,10,2,0,0,0,4,0,-4,-4,-3,-9,-4,-2,-50,61,-46,68,69,-59,67,-89,0,0,0,0,0,0,0,0,012f1
161,161,0,1,1,80,-55,-18,79,107,-90,53,-7,-1,-3,-34,-17,44,4,-24,85,0,0,0,-58,-25,63,-43,57,5,-21,53,16,-9,10,-8,-13,-12,-6,2,0,0,0,0,0,0,0,0,012f2
162,162,0,1,1,-4,-6,-3,5,17,-6,16,0,-3,-3,-1,-11,1,-7,-1,9,0,0,0,-6,4,-10,1,5,13,-3,-5,70,-77,45,-85,-87,72,-80,113,0,0,0,0,0,0,0,0,012f3
163,163,0,1,1,-83,56,19,-85,-94,87,-65,8,-20,2,45,24,-44,4,31,-73,0,0,0,38,10,-62,49,-46,-2,11,-54,0,10,-18,1,12,-2,5,3,0,0,0,0,0,0,0,0,012f4
164,164,0,1,1,-76,52,24,-77,-84,72,-58,3,-26,-2,30,32,-47,-7,28,-79,0,0,0,12,11,-55,52,-26,-1,14,-50,-62,71,-43,83,76,-75,71,-124,0,0,0,0,0,0,0,0,012f5
165,165,0,1,1,-79,43,9,-75,-69,63,-57,2,5,2,24,25,-26,-6,25,-64,0,0,0,40,18,-62,40,-47,-11,18,-50,-49,54,-29,68,63,-56,62,-97,0,0,0,0,0,0,0,0,012f6
166,166,0,1,1,-67,44,1,-80,-75,75,-57,3,1,4,40,31,-35,-1,13,-67,0,0,0,36,15,-64,52,-47,1,27,-38,-53,59,-40,69,60,-65,51,-103,0,0,0,0,0,0,0,0,012f7
167,167,0,1,1,-48,45,19,-69,-75,70,-37,2,-2,-1,24,24,-40,-9,25,-66,0,0,0,42,31,-53,44,-29,4,22,-46,-47,73,-37,74,56,-70,46,-111,0,0,0,0,0,0,0,0,012f8
168,168,0,1,1,-65,49,16,-73,-81,81,-61,6,-2,3,21,16,-26,3,27,-58,0,0,0,46,24,-66,43,-49,-16,16,-59,-53,54,-37,66,76,-64,67,-84,0,0,0,0,0,0,0,0,012f9
169,169,0,1,1,-56,39,17,-68,-85,71,-46,2,-24,4,21,23,-26,-11,10,-70,0,0,0,31,23,-66,38,-44,-9,26,-57,-71,58,-48,71,78,-62,62,-96,0,0,0,0,0,0,0,0,012fa
170,170,0,1,1,-72,43,19,-68,-85,73,-43,1,-27,2,29,19,-37,-11,16,-60,0,0,0,42,23,-63,33,-38,1,28,-51,-52,69,-53,60,68,-58,47,-96,0,0,0,0,0,0,0,0,012fb
171,171,0,1,1,-68,37,5,-73,-85,86,-63,6,-9,3,29,16,-37,2,22,-55,0,0,0,32,18,-56,41,-47,0,20,-45,-60,60,-61,61,73,-72,57,-106,0,0,0,0,0,0,0,0,012fc
172,172,0,1,1,10,-1,-1,-6,-7,-2,2,1,-1,-1,-13,-5,8,13,3,7,0,0,0,3,2,0,-9,-12,0,-1,-12,-65,59,-41,66,69,-74,58,-100,0,0,0,0,0,0,0,0,012fd
173,173,0,1,1,61,-37,-19,78,84,-67,56,-7,-1,-2,-38,-33,31,7,-32,72,0,0,0,-35,-28,59,-51,31,6,-15,44,-2,3,5,-15,-7,-8,-8,-4,0,0,0,0,0,0,0,0,012fe
174,174,0,1,1,-6,-10,-12,22,7,-4,-4,1,0,2,0,-13,1,-12,-7,5,0,0,0,-5,8,7,-5,-1,-5,-1,-12,48,-58,34,-77,-75,59,-65,89,0,0,0,0,0,0,0,0,012ff
175,175,0,1,1,-74,40,10,-62,-90,70,-61,5,-8,4,37,12,-34,-4,21,-66,0,0,0,43,23,-62,38,-49,-1,17,-62,-1,3,-5,1,13,-8,-2,-3,0,0,0,0,0,0,0,0,1300
176,176,0,1,1,-9,-2,-16,-4,-14,8,9,1,-5,-2,5,7,-18,-1,-14,-10,0,0,0,-5,-20,12,13,-1,13,13,24,-56,70,-40,76,72,-68,57,-109,0,0,0,0,0,0,0,0,1301
177,177,0,1,1,52,-58,-19,85,89,-73,65,-3,20,-6,-48,-23,32,4,-35,77,0,0,0,-33,-17,63,-42,43,6,-14,48,20,5,23,8,-14,10,-14,-4,0,0,0,0,0,0,0,0,1302
178,178,0,1,1,55,-52,-11,86,93,-67,68,-8,19,-3,-47,-32,40,-10,-32,69,0,0,0,-27,-24,56,-62,37,-1,-18,39,65,-68,50,-80,-80,61,-76,104,0,0,0,0,0,0,0,0,1303
179,179,0,1,1,50,-48,-22,61,88,-69,57,-6,14,-5,-14,-23,33,-8,-24,58,0,0,0,-24,-25,49,-37,32,0,-22,65,57,-65,53,-66,-72,64,-64,113,0,0,0,0,0,0,0,0,1304
180,180,0,1,1,18,4,-15,3,7,-12,-14,-8,8,-1,2,-20,11,9,6,13,0,0,0,7,0,-6,3,-7,-6,-17,-6,66,-38,59,-54,-66,59,-59,95,0,0,0,0,0,0,0,0,1305
181,181,0,1,1,-63,50,8,-75,-88,65,-47,5,-21,3,24,21,-36,-9,30,-68,0,0,0,27,19,-55,46,-38,-5,17,-60,-13,9,-6,-6,5,3,4,8,0,0,0,0,0,0,0,0,1306
182,182,0,1,1,-27,-16,-1,-7,-3,-6,3,-2,-2,-3,12,17,-8,-2,4,-16,0,0,0,-4,5,0,1,2,3,6,8,-55,57,-43,71,83,-62,66,-87,0,0,0,0,0,0,0,0,1307
183,183,0,1,1,87,-41,-16,87,92,-95,52,-5,14,-8,-37,-29,43,4,-28,74,0,0,0,-51,-29,84,-47,54,-1,-15,45,13,1,17,-2,-20,4,-13,3,0,0,0,0,0,0,0,0,1308
184,184,0,1,1,15,6,1,7,21,-3,-2,1,8,0,-11,-9,7,-11,1,7,0,0,0,15,12,-3,-15,0,-3,-12,-5,60,-69,54,-79,-87,71,-74,110,0,0,0,0,0,0,0,0,1309
185,185,0,1,1,-78,43,15,-83,-93,79,-67,1,-11,-1,46,28,-39,-5,31,-75,0,0,0,34,28,-84,46,-48,-7,7,-52,-9,-18,-32,-4,17,-8,4,5,0,0,0,0,0,0,0,0,0130a
186,186,0,1,1,-69,57,29,-78,-96,64,-71,13,-21,-1,41,35,-51,10,34,-59,0,0,0,14,8,-55,71,-43,-10,13,-52,-79,52,-54,71,88,-68,67,-89,0,0,0,0,0,0,0,0,0130b
187,187,0,1,1,-55,44,12,-69,-72,67,-55,-1,-2,4,16,30,-29,2,25,-70,0,0,0,38,30,-66,36,-35,-9,15,-45,-58,68,-30,72,75,-70,75,-109,0,0,0,0,0,0,0,0,0130c
188,188,0,1,1,-59,41,18,-71,-79,63,-47,6,-19,1,27,27,-28,2,23,-67,0,0,0,10,16,-69,55,-35,-8,22,-47,-54,51,-57,59,63,-59,55,-104,0,0,0,0,0,0,0,0,0130d
189,189,0,1,1,-61,45,24,-78,-73,75,-54,8,-4,4,39,23,-38,7,32,-58,0,0,0,32,19,-59,50,-42,-7,15,-58,-49,70,-46,60,75,-61,63,-91,0,0,0,0,0,0,0,0,0130e
190,190,0,1,1,-47,41,16,-61,-86,75,-52,4,2,0,21,26,-33,-7,33,-73,0,0,0,29,39,-61,27,-38,-6,17,-62,-50,67,-41,67,73,-58,70,-96,0,0,0,0,0,0,0,0,0130f
191,191,0,1,1,-56,46,17,-65,-86,74,-57,8,-22,-1,29,29,-37,3,23,-60,0,0,0,8,17,-50,47,-44,-19,13,-59,-69,39,-49,62,76,-64,56,-86,0,0,0,0,0,0,0,0,1310
192,192,0,1,1,-64,43,5,-83,-73,71,-51,2,-11,1,33,22,-36,4,23,-65,0,0,0,20,25,-50,48,-38,-16,19,-52,-51,54,-54,67,73,-61,73,-99,0,0,0,0,0,0,0,0,1311
193,193,0,1,1,-70,33,11,-67,-89,64,-53,3,2,1,29,25,-42,-13,30,-64,0,0,0,39,26,-70,42,-47,4,13,-53,-47,65,-35,73,59,-58,60,-104,0,0,0,0,0,0,0,0,1312
194,194,0,1,1,-25,-1,-8,-12,-12,20,-2,0,-10,1,12,9,-7,-2,-2,1,0,0,0,6,-11,-6,9,-9,0,4,4,-59,70,-37,69,65,-77,58,-93,0,0,0,0,0,0,0,0,1313
195,195,0,1,1,60,-51,-20,71,88,-76,61,-4,-8,-6,-28,-32,36,9,-32,64,0,0,0,-47,-20,84,-40,31,3,-8,63,13,10,3,0,-1,6,-4,1,0,0,0,0,0,0,0,0,1314
196,196,0,1,1,62,-59,-9,88,88,-69,56,-5,7,-4,-30,-23,30,-6,-29,71,0,0,0,-27,-8,62,-57,42,7,-26,45,63,-60,53,-67,-76,58,-69,88,0,0,0,0,0,0,0,0,1315
197,197,0,1,1,62,-37,-4,80,79,-65,52,-2,-1,-5,-28,-11,17,-8,-31,56,0,0,0,-41,-19,55,-39,43,-2,-22,52,56,-70,32,-66,-71,53,-57,98,0,0,0,0,0,0,0,0,1316
198,198,0,1,1,12,1,6,10,2,-20,1,-5,8,-1,5,-5,2,0,-6,-4,0,0,0,4,4,0,-1,-4,-2,-9,-5,50,-66,47,-70,-60,74,-59,97,0,0,0,0,0,0,0,0,1317
199,199,0,1,1,-75,34,19,-82,-81,83,-50,2,5,4,30,37,-35,-11,23,-75,0,0,0,45,40,-81,46,-28,4,13,-62,-18,7,4,1,-13,-1,0,-14,0,0,0,0,0,0,0,0,1318
200,200,0,1,1,-74,41,14,-77,-78,75,-46,3,-10,2,26,23,-40,-7,22,-75,0,0,0,39,20,-60,55,-46,1,21,-53,-47,67,-48,81,77,-60,62,-85,0,0,0,0,0,0,0,0,1319
201,201,0,1,1,-61,37,17,-60,-77,67,-50,2,-10,2,32,23,-30,6,27,-63,0,0,0,24,25,-57,44,-35,-11,12,-45,-52,64,-40,78,83,-49,69,-96,0,0,0,0,0,0,0,0,0131a
202,202,0,1,1,-9,5,0,-8,-10,5,-3,1,-9,1,3,6,-9,3,3,-10,0,0,0,-25,-14,-1,7,-4,-2,3,-3,-66,51,-38,61,52,-60,61,-101,0,0,0,0,0,0,0,0,0131b
